S,sigma,T,ours,our_se,paper,paper_se,difference,combined_se,z,european,early_exercise_premium
36.0,0.2,1.0,4.47608511851849,0.006504803483249259,4.472,0.01,0.004085118518489139,0.011929478964132998,0.3424389724623681,3.8443077915968398,0.6317773269216498
36.0,0.2,2.0,4.833854301843444,0.007760069955188167,4.821,0.012,0.012854301843444382,0.014290510337612652,0.899499145920061,3.763000927669731,1.070853374173713
36.0,0.4,1.0,7.1019843207867375,0.0134408796163277,7.091,0.02,0.010984320786737278,0.02409683059783202,0.4558408933548934,6.711399066623684,0.3905852541630539
36.0,0.4,2.0,8.494499915404687,0.015930560929234314,8.488,0.024,0.006499915404686973,0.028805950279760722,0.225644887308365,7.70003958769563,0.7944603277090563
38.0,0.2,1.0,3.24644817016255,0.006615886115881581,3.244,0.009,0.002448170162549612,0.011170046960434618,0.2191727726142304,2.851932118039479,0.3945160521230706
38.0,0.2,2.0,3.732273310185515,0.007840920327211065,3.735,0.011,-0.002726689814485095,0.013508517001420684,-0.20184967855452454,2.9905568579925728,0.741716452192942
38.0,0.4,1.0,6.1411095588233255,0.013106806566423268,6.139,0.019,0.002109558823325308,0.023082209131052342,0.0913932809181307,5.834320866481408,0.3067886923419172
38.0,0.4,2.0,7.654763838557818,0.01577480866399095,7.669,0.022,-0.01423616144218176,0.02707110245973599,-0.5258803723769955,6.978802476201392,0.6759613623564258
40.0,0.2,1.0,2.3091095111538187,0.006138611692105047,2.313,0.009,-0.0038904888461814835,0.010894152261945341,-0.3571171719135463,2.066401004420342,0.24270850673347688
40.0,0.2,2.0,2.8748128763012426,0.0074492184056297326,2.879,0.01,-0.0041871236987574,0.012469597221032153,-0.3357866035716923,2.3558662816645337,0.5189465946367089
40.0,0.4,1.0,5.307967266770741,0.012713192240220833,5.308,0.018,-3.273322925867461e-05,0.022036906700733005,-0.0014853822137199419,5.05962312593381,0.2483441408369309
40.0,0.4,2.0,6.900726190594562,0.015462187405707345,6.921,0.022,-0.020273809405438215,0.026890132751052283,-0.7539497700934499,6.325998988916158,0.574727201678404
42.0,0.2,1.0,1.6163298801046397,0.005434567848169939,1.617,0.007,-0.000670119895360255,0.00886197086975366,-0.07561747891176294,1.4645039410864458,0.15182593901819397
42.0,0.2,2.0,2.2115238626610503,0.006847612654241617,2.206,0.01,0.005523862661050316,0.012119810190862312,0.45577138371482195,1.8413544774586452,0.37016938520240505
42.0,0.4,1.0,4.580726506745388,0.012199424966172502,4.588,0.017,-0.007273493254611907,0.020924291374029205,-0.3476100157752351,4.378718363527036,0.20200814321835203
42.0,0.4,2.0,6.2336306957993415,0.015083653699191265,6.243,0.021,-0.009369304200658846,0.02585568813466635,-0.36236916812501424,5.735617602382007,0.4980130934173346
44.0,0.2,1.0,1.110829436919052,0.004622175562185643,1.118,0.007,-0.007170563080948211,0.008388355436416972,-0.8548234675200015,1.016915226428272,0.09391421049077997
44.0,0.2,2.0,1.6869572379218205,0.006133213471532913,1.675,0.009,0.011957237921820463,0.010891111398172034,1.0978895986526562,1.4292151307875152,0.25774210713430534
44.0,0.4,1.0,3.9405792449794763,0.011538850097819615,3.957,0.017,-0.016420755020523536,0.020546169024417953,-0.7992124955756181,3.7827988326472197,0.1577804123322566
44.0,0.4,2.0,5.634977840578589,0.014634697774217706,5.622,0.021,0.012977840578589195,0.02559637433197703,0.5070187054725264,5.201995311264421,0.4329825293141685
